# source=https://www.bundesbank.de/resource/blob/926192/b27b518a016ea7ca7af321eb7289fcf4/472B63F073F071307366337C94F8C870/blz-aktuell-csv-data.csv
# source_sha256=3a5484358b326d6d9ed8bea003601a7d79abbc100cdb81fd0d30e0c8a21898a6
# valid_from=2026-06-08
# valid_to=2026-09-06
# synthetic_non_routable_bank_code=00000000
bank_code,bic,change_marker,deletion_flag,successor_bank_code
10000000,MARKDEF1100,U,0,00000000
10010010,PBNKDEFFXXX,U,0,00000000
10010123,QNTODEB2XXX,U,0,00000000
10010178,REVODEB2XXX,U,0,00000000
10010200,TRZODEB2XXX,U,0,00000000
10010300,KLRNDEBEXXX,U,0,00000000
10010424,AARBDE5W100,U,0,00000000
10010500,AFOPDEB2XXX,U,0,00000000
10010700,FPEGDEB2XXX,U,0,00000000
10011001,NTSBDEB1XXX,U,0,00000000
10012345,TRBKDEBBXXX,U,0,00000000
10014000,SWNBDEBBXXX,U,0,00000000
10014001,SWNBDEBBXXX,U,0,00000000
10017997,HOLVDEB1XXX,U,0,00000000
10018000,FNOMDEB2XXX,U,0,00000000
10019000,ADYBDEB2XXX,U,0,00000000
10020200,BHFBDEFF100,U,0,00000000
10020500,BFSWDE33BER,U,0,00000000
10020510,BFSWDE33BER,U,0,00000000
10020520,BFSWDE33BER,U,0,00000000
10020890,HYVEDEMM488,U,0,00000000
10030400,ABKBDEB1XXX,M,0,00000000
10030500,LOEBDEBBXXX,U,0,00000000
10033300,SCFBDE33XXX,M,0,00000000
10040000,COBADEBBXXX,U,0,00000000
10040005,COBADEBBXXX,U,0,00000000
10040010,COBADEFFXXX,U,0,00000000
10040048,COBADEFFXXX,U,0,00000000
10040060,COBADEFFXXX,U,0,00000000
10040061,COBADEFFXXX,U,0,00000000
10040062,COBADEFFXXX,U,0,00000000
10040063,COBADEFFXXX,U,0,00000000
10040085,COBADEFFXXX,U,0,00000000
10045050,COBADEFFXXX,U,0,00000000
10050000,BELADEBEXXX,U,0,00000000
10050020,SKPADEB1XXX,U,0,00000000
10050500,LBSODEB1BLN,U,0,00000000
10050999,DGZFDEFFBER,U,0,00000000
10060198,GENODED1PA6,U,1,37060193
10061006,GENODED1KDB,U,0,00000000
10070000,DEUTDEBBXXX,U,0,00000000
10070024,DEUTDEDBBER,U,0,00000000
10070100,DEUTDEBB101,U,0,00000000
10070124,DEUTDEDB101,U,0,00000000
10070324,DEUTDEDBP30,U,0,00000000
10070397,DEUTDEBBP30,U,0,00000000
10070398,DEUTDEBBP31,U,0,00000000
10070399,DEUTDEBBP32,U,0,00000000
10070848,DEUTDEDB110,U,0,00000000
10071324,DEUTDEDBP31,U,0,00000000
10072324,DEUTDEDBP32,U,0,00000000
10077777,NORSDE51XXX,U,0,00000000
10080000,DRESDEFF100,U,0,00000000
10080005,DRESDEFFI26,U,0,00000000
10080006,DRESDEFFXXX,U,0,00000000
10080055,DRESDEFF112,U,0,00000000
10080057,DRESDEFF114,U,0,00000000
10080085,DRESDEFFI53,U,0,00000000
10080086,DRESDEFFI71,U,0,00000000
10080087,DRESDEFFI72,U,0,00000000
10080088,DRESDEFFXXX,U,0,00000000
10080089,DRESDEFFI73,U,0,00000000
10080900,DRESDEFF199,U,0,00000000
10089260,DRESDEFFI14,U,0,00000000
10089999,DRESDEFFI99,U,0,00000000
10090000,BEVODEBBXXX,U,0,00000000
10090300,GENODEF1BSB,U,1,00000000
10090900,GENODEF1P01,U,0,00000000
10110300,MACODEB1XXX,U,0,00000000
10110400,IBBBDEBBXXX,U,0,00000000
10110600,QUBKDEBBXXX,U,0,00000000
10120100,WELADED1WBB,U,0,00000000
10130600,ISBKDEFXXXX,U,0,00000000
10130800,BIWBDE33XXX,U,0,00000000
10220500,BOFSDEB1XXX,U,0,00000000
10220600,SYBKDE22BER,U,0,00000000
10310600,TRDADEB1PBK,U,0,00000000
10310666,TRDADEBBDIR,U,0,00000000
10320700,MPAYDEB2XXX,U,0,00000000
11010100,SOBKDEBBXXX,U,0,00000000
11010101,SOBKDEB2XXX,U,0,00000000
11010111,PNTADEBBXXX,U,0,00000000
12016836,KFWIDEFF100,U,0,00000000
12030000,BYLADEM1001,U,0,00000000
12030030,BYLADEM1001,A,0,00000000
12030900,MEFIDEMM100,U,0,00000000
12040000,COBADEBB120,U,0,00000000
12050555,NOLADE21DVS,U,0,00000000
12060000,GENODEFF120,U,0,00000000
12070000,DEUTDEBB160,U,0,00000000
12070024,DEUTDEDB160,U,0,00000000
12070070,DEUTDEFFVAC,U,0,00000000
12070088,DEUTDEDBPAL,U,0,00000000
12070400,DEUTDEBBP33,U,0,00000000
12070424,DEUTDEDBP33,U,0,00000000
12080000,DRESDEFF120,U,0,00000000
12096597,GENODEF1S10,U,0,00000000
13000000,MARKDEF1130,U,0,00000000
13040000,COBADEFFXXX,U,0,00000000
13050000,NOLADE21ROS,U,0,00000000
13051042,NOLADE21RUE,U,0,00000000
13061008,GENODEF1WOG,U,0,00000000
13061078,GENODEF1HWI,U,0,00000000
13061088,GENODEF1HWR,U,1,13061078
13061128,GENODEF1DBR,U,1,14061308
13070000,DEUTDEBRXXX,U,0,00000000
13070024,DEUTDEDBROS,U,0,00000000
13070405,DEUTDEBBP35,U,0,00000000
13070424,DEUTDEDBP35,U,0,00000000
13080000,DRESDEFF130,U,0,00000000
13090000,GENODEF1HR1,U,0,00000000
13091054,GENODEF1HST,U,0,00000000
13091084,GENODEF1HWV,U,1,13061078
14040000,COBADEFFXXX,U,0,00000000
14051000,NOLADE21WIS,U,0,00000000
14051362,NOLADE21PCH,U,0,00000000
14051462,NOLADE21SNS,U,0,00000000
14052000,NOLADE21LWL,U,0,00000000
14061308,GENODEF1GUE,U,0,00000000
14061438,GENODEF1GDB,U,0,00000000
14080000,DRESDEFF140,U,0,00000000
14080011,DRESDEFFI27,U,0,00000000
14091464,GENODEF1SN1,U,0,00000000
15000000,MARKDEF1150,U,0,00000000
15040068,COBADEFFXXX,U,0,00000000
15050100,NOLADE21WRN,U,0,00000000
15050200,NOLADE21NBS,U,0,00000000
15050400,NOLADE21PSW,U,0,00000000
15050500,NOLADE21GRW,U,0,00000000
15051732,NOLADE21MST,U,0,00000000
15061618,GENODEF1WRN,U,0,00000000
15061638,GENODEF1ANK,U,0,00000000
15061698,GENODEF1MAL,U,0,00000000
15080000,DRESDEFF150,U,0,00000000
15091674,GENODEF1DM1,U,0,00000000
15091704,GENODEF1PZ1,U,0,00000000
16010300,ILBXDE8XXXX,U,0,00000000
16020086,HYVEDEMM470,U,0,00000000
16040000,COBADEFFXXX,U,0,00000000
16050000,WELADED1PMB,U,0,00000000
16050101,WELADED1PRP,U,0,00000000
16050202,WELADED1OPR,U,0,00000000
16050500,LBSODEB1XXX,U,0,00000000
16060122,GENODEF1PER,U,0,00000000
16061938,GENODEF1NPP,U,0,00000000
16062008,GENODEF1LUK,U,0,00000000
16062073,GENODEF1BRB,U,0,00000000
16080000,DRESDEFF160,U,0,00000000
16091994,GENODEF1RN1,U,0,00000000
17020086,HYVEDEMM471,U,0,00000000
17040000,COBADEFFXXX,U,0,00000000
17052000,WELADED1GZE,U,0,00000000
17052302,WELADED1UMX,U,0,00000000
17054040,WELADED1MOL,U,0,00000000
17055050,WELADED1LOS,U,0,00000000
17056060,WELADED1UMP,U,0,00000000
