# dataset=entso_e_eic_directory
# created_at=2026-08-13T01:15:13Z
# source=https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
# source_sha256=b53840e8e377b11d12c63241a6a06e68ee36c221897930dae97c0c6ff1903a98
# record_count=76256
# active_record_count=72916
# inactive_record_count=3340
eic_code	status
10T-1001-10010AS	active
10T-AD-ES-00001T	active
10T-AD-ES-00002R	active
10T-AL-GR-000015	active
10T-AL-GR-000023	active
10T-AL-ME-00001I	active
10T-AL-ME-00002G	active
10T-AL-RS-000019	inactive
10T-AT-CH-00001X	active
10T-AT-CH-00002V	active
10T-AT-CH-00003T	active
10T-AT-CH-00004R	active
10T-AT-CH-00005P	active
10T-AT-CZ-000010	inactive
10T-AT-CZ-00002Z	inactive
10T-AT-CZ-00003X	active
10T-AT-CZ-00004V	active
10T-AT-DE-00001B	active
10T-AT-DE-000029	active
10T-AT-DE-000037	active
10T-AT-DE-000045	active
10T-AT-DE-000053	active
10T-AT-DE-000061	active
10T-AT-DE-00008Y	inactive
10T-AT-DE-00009W	active
10T-AT-DE-00010A	active
10T-AT-DE-000118	inactive
10T-AT-DE-000126	active
10T-AT-DE-000134	active
10T-AT-DE-000142	active
10T-AT-DE-000150	active
10T-AT-DE-00016Z	active
10T-AT-DE-00017X	active
10T-AT-DE-00018V	active
10T-AT-DE-00019T	active
10T-AT-DE-000207	active
10T-AT-DE-000215	active
10T-AT-DE-000223	active
10T-AT-DE-000231	active
10T-AT-DE-00025Y	active
10T-AT-DE-00026W	active
10T-AT-DE-00027U	active
10T-AT-DE-00028S	active
10T-AT-DE-00029Q	active
10T-AT-DE-000304	active
10T-AT-DE-000312	active
10T-AT-DE-000320	active
10T-AT-DE-00033Z	active
10T-AT-DE-00034X	inactive
10T-AT-DE-00035V	active
10T-AT-DE-10007U	active
10T-AT-DE-10016T	active
10T-AT-DE-10024U	active
10T-AT-HU-00001W	active
10T-AT-HU-00002U	active
10T-AT-HU-00003S	active
10T-AT-HU-00004Q	active
10T-AT-IT-00001V	active
10T-AT-IT-00002T	active
10T-AT-SI-00001T	active
10T-AT-SI-00002R	active
10T-AT-SI-00003P	active
10T-BA-HR-00001V	active
10T-BA-HR-00002T	active
10T-BA-HR-00003R	active
10T-BA-HR-00004P	active
10T-BA-HR-00005N	active
10T-BA-HR-00006L	active
10T-BA-HR-00007J	active
